path,page_type,group,sources,gsc_status,gsc_last_crawled,has_rankmath_redirect,rankmath_type,rankmath_dest,is_thirstyaffiliate,ta_name,ta_dest_url,exists_on_new_site,new_site_path,notes,redirect_status
/best-electric-unicycles/1000,post,Guides / Listicles,gsc:redirect,redirect,2026-02-07,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact); Base path /best-electric-unicycles exists on new site,no-redirect-needed
/best-hoverboard,post,Guides / Listicles,gsc:redirect,redirect,2025-06-02,,,,,,,no,,,ignored-fragment
/best-hoverboard-chargers,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-17,yes,301,http://eridehero.com/hoverboard-replacement-charger-safety/,,,,no,,,mapped
/best-hoverboards,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/best-hoverboards,,no-redirect-needed
/best-hoverboards-for-kids,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-16,yes,301,http://eridehero.com/best-hoverboards/,,,,no,,,mapped
/best-hoverboards-for-kids/1000,post,Guides / Listicles,gsc:redirect,redirect,2024-09-17,,,,,,,no,,Has /1000 suffix (Oxygen Builder artifact),no-redirect-needed
/best-hoverboards/chargers,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-17,yes,301,http://eridehero.com/best-hoverboard-chargers/,,,,no,,,mapped
/best-hoverboards/cheap,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-14,yes,301,http://eridehero.com/best-cheap-hoverboards/,,,,no,,,mapped
/best-hoverboards/fastest,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-17,yes,301,http://eridehero.com/fastest-hoverboards/,,,,no,,,mapped
/best-hoverboards/for-kids,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2024-09-17,yes,301,http://eridehero.com/best-hoverboards-for-kids/,,,,no,,,mapped
/best-hoverboards/go-kart,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-14,yes,301,http://eridehero.com/best-hoverkart-attachments/,,,,no,,,mapped
/best-hoverboards/off-road,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-15,yes,301,http://eridehero.com/best-off-road-hoverboards/,,,,no,,,mapped
/best-hoverkart-attachments,post,Guides / Listicles,"gsc:redirect, rankmath-redirect-source",redirect,2026-02-15,yes,301,http://eridehero.com/hoverboards/,,,,no,,,mapped
/best-lightweight-electric-scooter,post,Guides / Listicles,gsc:redirect,redirect,2026-02-16,,,,,,,no,,,ignored-fragment
/best-lightweight-electric-scooters,post,Guides / Listicles,"gsc:indexed, sitemap",indexed,2026-02-16,,,,,,,yes,/best-lightweight-electric-scooters,,no-redirect-needed
