id,source,matching,destination,type,category,status,ignore
"156","segway-ninebot-es2-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","glion-dolly-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","speedway-mini-4-pro-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","segway-ninebot-kickscooter-es4-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","elka-model-t-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","xiaomi-mi-m365-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","nanrobot-d4-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","zero-10x-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","zero-11x-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","inokim-mini-2-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","qiewa-q1-hummer-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","dualtron-thunder-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","inokim-oxo-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","inokim-light-2-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","emove-cruiser-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","mercane-widewheel-pro-2020-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","zero-8-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","razor-e-prime-iii-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","speedway-leger-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","levy-plus-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","inokim-ox-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","evolv-city-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","zero-9-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","segway-ninebot-zing-e8-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"156","razor-e-prime-air-electric-scooter-review","exact","http://eridehero.com/electric-scooters/reviews/","301","reviews","active",""
"157","products/yume-hawk-pro-22-5ah/","exact","http://eridehero.com/products/yume-hawk-pro-27ah/","301","","active",""
"158","products/yume-hawk-pro-25ah/","exact","http://eridehero.com/products/yume-hawk-pro-30ah/","301","","active",""
"159","best-electric-skateboard-conversion-kits","exact","http://eridehero.com/best-electric-skateboards/","301","","active",""
"159","best-off-road-electric-skateboards","exact","http://eridehero.com/best-electric-skateboards/","301","","active",""
"159","best-cheap-electric-skateboards","exact","http://eridehero.com/best-electric-skateboards/","301","","active",""
"161","best-hoverkart-attachments","exact","http://eridehero.com/hoverboards/","301","","active",""
"162","best-off-road-hoverboards","exact","http://eridehero.com/best-hoverboards/","301","","active",""
"162","best-hoverboards-for-kids","exact","http://eridehero.com/best-hoverboards/","301","","active",""
"163","best-cheap-electric-scooters/","exact","http://eridehero.com/best-electric-scooters-under-500/","301","","active",""
"164","electric-scooter-giveaway-x7","exact","http://eridehero.com/","301","","active",""
"165","turboant-x7-electric-scooter-review","exact","http://eridehero.com/turboant-x7-max-electric-scooter-review/","301","","active",""
"166","halo-board-2-electric-skateboard-review","exact","http://eridehero.com/halo-board-beast-electric-skateboard-review/","301","","active",""
